Complete graph 
 10 nodes
 45 arcs
 1 2 3 -2
 1 3 55 -64
 1 4 33 -52
 1 5 53 -82
 1 6 40 -22
 1 7 54 -30
 1 8 62 -18
 1 9 39 -23
 1 10 92 -18
 2 3 34 -70
 2 4 2 -8
 2 5 82 -33
 2 6 8 -61
 2 7 76 -38
 2 8 72 -26
 2 9 52 -20
 2 10 68 -9
 3 4 61 -57
 3 5 64 -6
 3 6 69 -18
 3 7 6 -31
 3 8 9 -3
 3 9 39 -32
 3 10 32 -55
 4 5 61 -60
 4 6 35 -17
 4 7 12 -72
 4 8 30 -29
 4 9 3 -17
 4 10 42 -8
 5 6 71 -14
 5 7 78 -49
 5 8 73 -64
 5 9 89 -10
 5 10 10 -33
 6 7 9 -19
 6 8 13 -79
 6 9 37 -79
 6 10 45 -67
 7 8 4 -1
 7 9 57 -60
 7 10 66 -6
 8 9 92 -23
 8 10 56 -25
 9 10 77 -57
