Grid graph
 169 nodes
 312 arcs
 1 2 3 -3
 1 14 30 -30
 2 3 3 -4
 2 15 47 -40
 3 4 63 -46
 3 16 29 -38
 4 5 7 -6
 4 17 17 -15
 5 6 14 -14
 5 18 5 -4
 6 7 28 -20
 6 19 29 -38
 7 8 50 -42
 7 20 27 -20
 8 9 6 -5
 8 21 17 -24
 9 10 25 -32
 9 22 15 -18
 10 11 40 -41
 10 23 15 -11
 11 12 38 -27
 11 24 26 -24
 12 13 25 -27
 12 25 63 -57
 13 26 56 -51
 14 15 45 -57
 14 27 6 -8
 15 16 43 -35
 15 28 79 -57
 16 17 60 -45
 16 29 53 -70
 17 18 55 -75
 17 30 20 -16
 18 19 42 -52
 18 31 11 -15
 19 20 68 -67
 19 32 8 -6
 20 21 60 -49
 20 33 3 -3
 21 22 19 -14
 21 34 12 -10
 22 23 10 -8
 22 35 61 -51
 23 24 18 -22
 23 36 30 -40
 24 25 0 0
 24 37 69 -67
 25 26 2 -1
 25 38 20 -15
 26 39 42 -54
 27 28 72 -67
 27 40 55 -65
 28 29 28 -25
 28 41 5 -4
 29 30 18 -14
 29 42 68 -57
 30 31 31 -25
 30 43 28 -26
 31 32 49 -56
 31 44 30 -23
 32 33 34 -38
 32 45 36 -43
 33 34 6 -6
 33 46 18 -17
 34 35 8 -6
 34 47 52 -42
 35 36 31 -28
 35 48 64 -59
 36 37 10 -14
 36 49 45 -43
 37 38 46 -39
 37 50 66 -50
 38 39 14 -19
 38 51 57 -72
 39 52 11 -8
 40 41 36 -46
 40 53 32 -38
 41 42 69 -63
 41 54 64 -75
 42 43 7 -5
 42 55 38 -37
 43 44 7 -6
 43 56 51 -64
 44 45 13 -17
 44 57 62 -74
 45 46 53 -49
 45 58 19 -17
 46 47 60 -72
 46 59 1 -2
 47 48 54 -67
 47 60 58 -42
 48 49 55 -42
 48 61 6 -8
 49 50 27 -35
 49 62 3 -3
 50 51 16 -18
 50 63 19 -18
 51 52 72 -56
 51 64 31 -29
 52 65 32 -26
 53 54 51 -65
 53 66 56 -44
 54 55 48 -56
 54 67 6 -6
 55 56 18 -25
 55 68 45 -50
 56 57 3 -3
 56 69 1 -1
 57 58 1 -1
 57 70 14 -11
 58 59 48 -44
 58 71 16 -18
 59 60 7 -9
 59 72 4 -3
 60 61 9 -10
 60 73 12 -13
 61 62 53 -40
 61 74 19 -17
 62 63 24 -26
 62 75 56 -69
 63 64 42 -40
 63 76 21 -29
 64 65 32 -40
 64 77 49 -47
 65 78 63 -65
 66 67 21 -21
 66 79 16 -13
