Complete graph 
 36 nodes
 60 arcs
 1 2 3 -2
 1 7 59 -59
 2 3 3 -3
 2 8 40 -45
 3 4 58 -62
 3 9 54 -43
 4 5 20 -27
 4 10 4 -3
 5 6 30 -42
 5 11 34 -26
 6 12 42 -30
 7 8 43 -35
 7 13 42 -46
 8 9 31 -40
 8 14 22 -19
 9 10 4 -3
 9 15 6 -8
 10 11 42 -57
 10 16 57 -43
 11 12 17 -22
 11 17 46 -33
 12 18 41 -59
 13 14 6 -5
 13 19 32 -24
 14 15 40 -55
 14 20 21 -17
 15 16 21 -22
 15 21 0 0
 16 17 10 -8
 16 22 53 -71
 17 18 12 -9
 17 23 53 -54
 18 24 23 -19
 19 20 1 -2
 19 25 47 -46
 20 21 44 -39
 20 26 43 -31
 21 22 45 -35
 21 27 44 -60
 22 23 74 -54
 22 28 26 -31
 23 24 29 -31
 23 29 21 -22
 24 30 52 -49
 25 26 16 -14
 25 31 70 -54
 26 27 72 -55
 26 32 61 -68
 27 28 15 -18
 27 33 16 -12
 28 29 73 -53
 28 34 27 -25
 29 30 42 -33
 29 35 67 -63
 30 36 8 -10
 31 32 36 -27
 32 33 12 -14
 33 34 8 -9
 34 35 64 -73
 35 36 42 -30
