Grid graph
 49 nodes
 84 arcs
 1 2 3 4
 1 8 16 22
 2 3 31 36
 2 9 13 11
 3 4 72 51
 3 10 59 77
 4 5 29 21
 4 11 27 21
 5 6 0 0
 5 12 21 22
 6 7 28 25
 6 13 60 68
 7 14 75 57
 8 9 27 39
 8 15 50 58
 9 10 54 39
 9 16 14 11
 10 11 35 30
 10 17 58 44
 11 12 14 13
 11 18 7 10
 12 13 44 49
 12 19 21 23
 13 14 52 57
 13 20 32 41
 14 21 52 44
 15 16 60 50
 15 22 19 17
 16 17 53 65
 16 23 32 40
 17 18 50 43
 17 24 35 47
 18 19 59 46
 18 25 8 11
 19 20 71 51
 19 26 0 0
 20 21 7 6
 20 27 18 24
 21 28 39 43
 22 23 53 48
 22 29 33 35
 23 24 50 58
 23 30 51 69
 24 25 8 11
 24 31 59 53
 25 26 61 58
 25 32 42 50
 26 27 41 46
 26 33 54 48
 27 28 45 58
 27 34 33 37
 28 35 17 15
 29 30 4 5
 29 36 69 66
 30 31 22 22
 30 37 16 14
 31 32 33 41
 31 38 18 17
 32 33 15 17
 32 39 2 2
 33 34 4 5
 33 40 20 25
 34 35 21 30
 34 41 10 8
 35 42 52 52
 36 37 58 42
 36 43 47 61
 37 38 60 51
 37 44 52 74
 38 39 20 17
 38 45 7 9
 39 40 22 21
 39 46 53 42
 40 41 41 41
 40 47 43 51
 41 42 15 20
 41 48 50 61
 42 49 65 55
 43 44 37 29
 44 45 9 11
 45 46 9 13
 46 47 35 36
 47 48 47 61
 48 49 17 22
